,link,text,date,No_of_likes,No_of_tweets
64,https://twitter.com/2talkon/status/1386621611860586498#m,"aur who bhi do do, ek Jumbo jet nahi.","Apr 26, 2021 · 10:02 AM UTC",0,0
65,https://twitter.com/louxharryxtpwk/status/1386588667251208197#m,Hit me with a jumbo jet babe I'll pay for the dent marks,"Apr 26, 2021 · 7:51 AM UTC",1,1
66,https://twitter.com/HYMEN_PAIN_3/status/1386558085553131520#m,You could get a jumbo jet in there ffs.,"Apr 26, 2021 · 5:49 AM UTC",5,0
67,https://twitter.com/Pikiran2ku/status/1386511409408712710#m,What a great idea! Any suggestions on who else we should put on the plane to keep him company? (Hopefully it's a jumbo jet.),"Apr 26, 2021 · 2:44 AM UTC",0,0
68,https://twitter.com/Ash_Kalra/status/1386505247791607808#m,“..imagine a fully loaded jumbo jet with 220 passengers & crew...crashing... every day...that’s exactly what is occurring when we say there are racial disparities in health in the US over 200 Black people dying prematurely every single day..” Healthcare is a racial justice issue.,"Apr 26, 2021 · 2:19 AM UTC",6,0
69,https://twitter.com/AlZheimerHammer/status/1386477468572397568#m,"Another genius! 🤦🏻‍♂️ I wasn't talking about inflating a fucking Jumbo jet and flying that out. There is equipment, that's used to extract pure oxygen from the air, compress it, and use it to alleviate lung conditions, synonymous with Covid-19.","Apr 26, 2021 · 12:29 AM UTC",0,1
70,https://twitter.com/ConorGearin/status/1386430977736540163#m,"even if spaceships had the capacity of a jumbo jet (which they don’t, now) it would still take a shocking amount of fuel and a shocking amount of time","Apr 25, 2021 · 9:24 PM UTC",0,1
71,https://twitter.com/barranr/status/1386419122896998400#m,Must have been a jumbo jumbo jumbo ..... jet,"Apr 25, 2021 · 8:37 PM UTC",3,1
72,https://twitter.com/roflyer74/status/1386408241890938883#m,Mach ich. Versprochen. Aber vorher komme ich morgen Nacht mit einem bumsvollen Jumbo Jet aus Indien nach Hause. Werde zwei Masken und Handschuhe tragen.,"Apr 25, 2021 · 7:54 PM UTC",1,0
73,https://twitter.com/BCNOgi/status/1386397831305433092#m,Park the bus park the jumbo jet park the fucking planet Earth I DONT CARE. Just WIN @Athletic_en,"Apr 25, 2021 · 7:12 PM UTC",14,0
74,https://twitter.com/lacher_u/status/1386386845550927881#m,"1 Jumbojet durch COVID jeden 2. Tag - 520 Tote  Solange die Menschen nicht verstehen, dass nur 14 Tage, in denen man SELBST niemand ansteckt,  ausreichen, COVID zu stoppen, wird nichts besser.  KULTUR ist dazu verdammt, das ALLEN klar machen zu müssen. Müssen sie noch begreifen.","Apr 25, 2021 · 6:29 PM UTC",0,1
75,https://twitter.com/WelshGit3/status/1386357181239398402#m,"....to bite.  Incidentally, do you think drunk people should be ""free"" to assess the risk of driving drunk, or drive buses with no driving licenses? Or fly a jumbo jet with no qualifications? Same logic.  Your ""freedoms"" are restricted when they affect others. Always have been.","Apr 25, 2021 · 4:31 PM UTC",1,3
76,https://twitter.com/jessm1812/status/1386349621077762052#m,Why does my laptop feel the need to do a jumbo jet impression every time I try to run Adobe 🤦🏼‍♀️,"Apr 25, 2021 · 4:01 PM UTC",0,0
77,https://twitter.com/ivanconinx/status/1386346104220946432#m,"A plain white Boeing 747 Jumbo Jet on short finals for RWY 01 at @BrusselsAirport this afternoon, inbound from Los Angeles as flight K4335 LAX-BRU 🇺🇸🛫🛬🇧🇪☀️#avgeek #boeing #b747 #brusselsairport #kalitta #connie","Apr 25, 2021 · 3:47 PM UTC",7,0
78,https://twitter.com/CheickMarcellus/status/1386340543391801345#m,“You could fit a fucking jumbo jet in there”,"Apr 25, 2021 · 3:25 PM UTC",0,0
79,https://twitter.com/G6JPG_/status/1386326843603644424#m,It's a recent addition to the universal journalism units of measure:  labrador double-decker bus olympic-sized swimming pool jumbo jet Wales,"Apr 25, 2021 · 2:30 PM UTC",2,1
80,https://twitter.com/davee_kreed/status/1386321107582550019#m,No mind the werey. 🤦‍♂️. I don't even know why he's just carrying his head like Jumbo Jet size during corners . 🤦‍♂️😭,"Apr 25, 2021 · 2:08 PM UTC",0,0
